Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -5.6978703 0.0 -32.8865 5.41442 -15.0451 340.647 -2208.21 338.973 -2189.37 0.0 338.973 -2189.37 35.4798 -32.8865 -1847.8038 -8.11797 -8.11797
0 1 -5.6978703 0.0 -32.8865 5.41442 -15.0451 340.647 -2208.21 338.973 -2189.37 0.0 338.973 -2189.37 35.4798 -32.8865 -1847.8038 -8.11797 -8.11797
0 2 -5.462473 0.0 -32.4501 5.36179 -18.3767 340.647 -2208.21 338.901 -2189.5 0.0 338.901 -2189.5 43.8817 -32.4501 -1839.1674 -2.25666 -2.25666
0 3 -4.995352 0.0 -24.541 5.49971 -16.2287 340.647 -2208.21 338.887 -2191.71 0.0 338.887 -2191.71 39.5855 -24.541 -1837.7786 -1.52043 -1.52043
0 4 -4.995352 0.0 -24.541 5.49971 -16.2287 340.647 -2208.21 338.887 -2191.71 0.0 338.887 -2191.71 39.5855 -24.541 -1837.7786 -1.52043 -1.52043
0 5 -4.995352 0.0 -24.541 5.49971 -16.2287 340.647 -2208.21 338.887 -2191.71 0.0 338.887 -2191.71 39.5855 -24.541 -1837.7786 -1.52043 -1.52043
0 6 -4.995352 0.0 -24.541 5.49971 -16.2287 340.647 -2208.21 338.887 -2191.71 0.0 338.887 -2191.71 39.5855 -24.541 -1837.7786 -1.52043 -1.52043
0 7 -4.937542 0.0 -23.3786 5.5294 -16.0409 340.647 -2208.21 338.901 -2192.35 0.0 338.901 -2192.35 39.6128 -23.3786 -1837.215 -1.0324 -1.0324
0 8 -4.937542 0.0 -23.3786 5.5294 -16.0409 340.647 -2208.21 338.901 -2192.35 0.0 338.901 -2192.35 39.6128 -23.3786 -1837.215 -1.0324 -1.0324
1 0 -5.701564 0.0 -31.2676 5.4923 -17.266 340.647 -2208.21 339.236 -2194.44 0.0 339.236 -2194.44 40.303 -31.2676 -1846.1686 -8.62755 -8.62755
1 1 -5.520622 0.0 -30.7237 5.48878 -17.0489 340.647 -2208.21 339.092 -2191.89 0.0 339.092 -2191.89 41.0259 -30.7237 -1842.4956 -6.39503 -6.39503
1 2 -5.595804 0.0 -30.9206 5.59586 -17.7516 340.647 -2208.21 339.266 -2193.62 0.0 339.266 -2193.62 43.1746 -30.9206 -1842.1002 -3.6047 -3.6047
1 3 -5.3799753 0.0 -30.662 5.36089 -20.126 340.647 -2208.21 339.162 -2193.07 0.0 339.162 -2193.07 45.3451 -30.662 -1839.225 -3.30399 -3.30399
1 4 -5.223896 0.0 -28.3008 5.41594 -18.2317 340.647 -2208.21 339.343 -2192.47 0.0 339.343 -2192.47 42.9991 -28.3008 -1838.4287 -0.903296 -0.903296
1 5 -4.847091 0.0 -22.9564 5.39029 -16.6969 340.647 -2208.21 339.169 -2192.81 0.0 339.169 -2192.81 39.2126 -22.9564 -1837.385 -3.8264 -3.8264
